CName,PIp,CIp,AngleCAntennaToPRadio (°),AnglePAntennaToCRadio (°),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio1,192.168.1.254,192.168.1.22,60,15,100,150,dirt,0.5,None, None
Date (Year-Mon-Day),Time (Hour-Min-Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (°C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (°C),CUpTime,ULinkUpTime,CTxPower,US0,US1,URSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-07,03-45-55,17,5.0,2.0,6.0,29.0,26-09:24:41,69,-80.5,-105.0,-80.5,-107.0,26.5,MCS 0 shortGI,MCS 10,33.0,0-13:18:32,0-00:55:05,7.3,-89.0,-91.0,-87.0,-97.0,10.0,MCS 10,24660,MCS 0 short GI,6988,0
2025-03-07,03-46-05,17,5.0,2.0,6.0,29.0,26-09:24:52,70,-81.0,-109.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-13:18:41,0-00:55:16,7.3,-91.0,-94.0,-89.0,-97.0,8.0,MCS 10,24757,MCS 0 short GI,7019,0
2025-03-07,03-46-16,17,5.0,2.0,6.0,29.0,26-09:25:00,70,-82.0,-107.0,-82.0,-107.0,25.0,MCS 0 shortGI,MCS 10,33.0,0-13:18:50,0-00:55:24,7.3,-91.0,-94.0,-90.0,-97.0,7.0,MCS 10 short GI,24828,MCS 0 short GI,7040,0
2025-03-07,03-46-26,17,5.0,2.0,6.0,29.0,26-09:25:12,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-13:19:02,0-00:55:35,7.3,-89.0,-93.0,-88.0,-96.0,8.0,MCS 10,24903,MCS 0 short GI,7064,0
2025-03-07,03-46-36,17,5.0,2.0,6.0,29.0,26-09:25:24,69,-80.0,-107.0,-80.0,-107.0,27.0,MCS 0 shortGI,MCS 10,33.0,0-13:19:11,0-00:55:47,7.3,-91.0,-94.0,-89.0,-96.0,7.0,MCS 10,25005,MCS 0 short GI,7095,0
2025-03-07,03-46-47,17,5.0,2.0,6.0,29.0,26-09:25:31,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-13:19:23,0-00:55:55,7.3,-89.0,-92.0,-87.0,-96.0,9.0,MCS 10,25074,MCS 0 short GI,7117,0
2025-03-07,03-46-57,17,5.0,2.0,6.0,29.0,26-09:25:43,70,-81.0,-105.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-13:19:32,0-00:56:07,7.3,-91.0,-92.0,-89.0,-97.0,8.0,MCS 10,25162,MCS 0 short GI,7147,0
2025-03-07,03-47-07,17,5.0,2.0,6.0,29.0,26-09:25:55,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-13:19:44,0-00:56:18,7.3,-91.0,-91.0,-88.0,-96.0,8.0,MCS 10,25259,MCS 0 short GI,7177,0
2025-03-07,03-47-18,17,5.0,2.0,6.0,29.0,26-09:26:02,69,-81.0,-107.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-13:19:54,0-00:56:25,7.3,-91.0,-90.0,-87.0,-96.0,9.0,MCS 10,25322,MCS 0 short GI,7192,0
2025-03-07,03-47-28,17,5.0,2.0,6.0,29.0,26-09:26:14,69,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-13:20:05,0-00:56:38,7.3,-91.0,-93.0,-89.0,-97.0,8.0,MCS 10,25417,MCS 0 short GI,7222,0
