CName,PIp,CIp,AngleCAntennaToPRadio (°),AnglePAntennaToCRadio (°),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio2,192.168.1.254,192.168.1.11,60,15,100,150,dirt,0.5,None, None
Date (Year-Mon-Day),Time (Hour-Min-Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (°C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (°C),CUpTime,ULinkUpTime,CTxPower,US0,US1,URSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-07,02-57-59,17,5.0,2.0,6.0,29.0,26-08:36:45,69,-68.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,24.0,0-12:30:39,0-00:07:08,7.0,-60.0,-62.0,-58.0,-96.0,38.0,MCS 15,4031,MCS 7 short GI,2166,0
2025-03-07,02-58-09,17,5.0,2.0,6.0,29.0,26-08:36:57,70,-68.0,-64.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 14 shortGI,24.0,0-12:30:48,0-00:07:20,7.0,-60.0,-61.0,-57.0,-96.0,39.0,MCS 15,4264,MCS 7 short GI,2320,0
2025-03-07,02-58-20,17,5.0,2.0,6.0,29.0,26-08:37:05,70,-68.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,24.0,0-12:30:57,0-00:07:28,7.0,-60.0,-61.0,-57.0,-96.0,39.0,MCS 15,4412,MCS 7 short GI,2422,0
2025-03-07,02-58-30,17,5.0,2.0,6.0,29.0,26-08:37:17,70,-68.0,-63.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,24.0,0-12:31:09,0-00:07:40,7.0,-60.0,-61.0,-58.0,-96.0,38.0,MCS 15,4584,MCS 7 short GI,2547,0
2025-03-07,02-58-40,17,5.0,2.0,6.0,29.0,26-08:37:28,70,-68.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,24.0,0-12:31:18,0-00:07:52,7.0,-60.0,-62.0,-58.0,-96.0,38.0,MCS 15,4784,MCS 7 short GI,2666,0
2025-03-07,02-58-51,17,5.0,2.0,6.0,29.0,26-08:37:36,70,-69.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,24.0,0-12:31:30,0-00:07:59,7.0,-60.0,-62.0,-58.0,-97.0,39.0,MCS 15,4898,MCS 7 short GI,2766,0
2025-03-07,02-59-01,17,5.0,2.0,6.0,29.0,26-08:37:47,70,-69.0,-64.0,-63.0,-100.0,37.0,MCS 7 shortGI,MCS 15,24.0,0-12:31:39,0-00:08:11,7.0,-60.0,-61.0,-58.0,-96.0,38.0,MCS 15,5141,MCS 7 short GI,2957,0
2025-03-07,02-59-11,17,5.0,2.0,6.0,29.0,26-08:37:59,70,-69.0,-64.0,-63.0,-100.0,37.0,MCS 7 shortGI,MCS 15,24.0,0-12:31:51,0-00:08:23,7.0,-60.0,-61.0,-57.0,-96.0,39.0,MCS 15,5361,MCS 7 short GI,3099,0
2025-03-07,02-59-22,17,5.0,2.0,6.0,29.0,26-08:38:07,70,-68.0,-63.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,24.0,0-12:32:00,0-00:08:31,7.0,-60.0,-61.0,-58.0,-96.0,38.0,MCS 15,5515,MCS 7 short GI,3209,0
2025-03-07,02-59-32,17,5.0,2.0,6.0,29.0,26-08:38:19,70,-68.0,-63.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,24.0,0-12:32:12,0-00:08:43,7.0,-60.0,-60.0,-57.0,-96.0,39.0,MCS 15,5640,MCS 7 short GI,3291,0
