CName,PIp,CIp,AngleCAntennaToPRadio (°),AnglePAntennaToCRadio (°),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio2,192.168.1.254,192.168.1.11,60,15,100,150,dirt,0.5,None, None
Date (Year-Mon-Day),Time (Hour-Min-Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (°C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (°C),CUpTime,ULinkUpTime,CTxPower,US0,US1,URSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-07,03-45-55,17,5.0,2.0,6.0,29.0,26-09:24:41,69,-68.0,-62.5,-61.5,-100.0,38.5,MCS 7 shortGI,MCS 15,24.0,0-13:18:35,0-00:55:05,7.0,-60.0,-61.0,-57.0,-97.0,40.0,MCS 15,50754,MCS 7 short GI,33263,0
2025-03-07,03-46-05,17,5.0,2.0,6.0,29.0,26-09:24:52,70,-68.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 14 shortGI,24.0,0-13:18:44,0-00:55:16,7.0,-60.0,-63.0,-58.0,-97.0,39.0,MCS 15,50926,MCS 7 short GI,33365,0
2025-03-07,03-46-16,17,5.0,2.0,6.0,29.0,26-09:25:00,70,-68.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,24.0,0-13:18:53,0-00:55:27,7.0,-60.0,-62.0,-58.0,-97.0,39.0,MCS 15,51112,MCS 7 short GI,33487,0
2025-03-07,03-46-26,17,5.0,2.0,6.0,29.0,26-09:25:12,70,-69.0,-64.0,-63.0,-100.0,37.0,MCS 7 shortGI,MCS 15,24.0,0-13:19:05,0-00:55:35,7.0,-60.0,-62.0,-58.0,-96.0,38.0,MCS 15,51276,MCS 7 short GI,33620,0
2025-03-07,03-46-36,17,5.0,2.0,6.0,29.0,26-09:25:24,69,-68.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,24.0,0-13:19:14,0-00:55:47,7.0,-60.0,-61.0,-57.0,-96.0,39.0,MCS 15,51508,MCS 7 short GI,33777,0
2025-03-07,03-46-47,17,5.0,2.0,6.0,29.0,26-09:25:31,70,-69.0,-64.0,-63.0,-100.0,37.0,MCS 7 shortGI,MCS 15,24.0,0-13:19:26,0-00:55:55,7.0,-60.0,-61.0,-58.0,-96.0,38.0,MCS 15,51643,MCS 7 short GI,33872,0
2025-03-07,03-46-57,17,5.0,2.0,6.0,29.0,26-09:25:43,70,-68.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,24.0,0-13:19:35,0-00:56:06,7.0,-60.0,-61.0,-57.0,-97.0,40.0,MCS 15,51810,MCS 7 short GI,33980,0
2025-03-07,03-47-07,17,5.0,2.0,6.0,29.0,26-09:25:55,70,-67.0,-63.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,24.0,0-13:19:47,0-00:56:18,7.0,-60.0,-60.0,-57.0,-96.0,39.0,MCS 15,52017,MCS 7 short GI,34118,0
2025-03-07,03-47-18,17,5.0,2.0,6.0,29.0,26-09:26:02,69,-69.0,-64.0,-63.0,-100.0,37.0,MCS 7 shortGI,MCS 15,24.0,0-13:19:56,0-00:56:30,7.0,-60.0,-59.0,-56.0,-96.0,40.0,MCS 15,52181,MCS 7 short GI,34234,0
2025-03-07,03-47-28,17,5.0,2.0,6.0,29.0,26-09:26:14,69,-68.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15 shortGI,24.0,0-13:20:08,0-00:56:38,7.0,-60.0,-60.0,-57.0,-97.0,40.0,MCS 15,52437,MCS 7 short GI,34429,0
2025-03-07,03-47-39,17,5.0,2.0,6.0,29.0,26-09:26:26,70,-68.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,24.0,0-13:20:17,0-00:56:49,7.0,-60.0,-61.0,-58.0,-97.0,39.0,MCS 15,52642,MCS 7 short GI,34574,0
2025-03-07,03-47-49,17,5.0,2.0,6.0,29.0,26-09:26:37,70,-68.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,24.0,0-13:20:29,0-00:57:01,7.0,-60.0,-62.0,-58.0,-97.0,39.0,MCS 15,52825,MCS 7 short GI,34691,0
2025-03-07,03-47-59,17,5.0,2.0,6.0,29.0,26-09:26:45,70,-68.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,24.0,0-13:20:38,0-00:57:09,7.0,-60.0,-61.0,-57.0,-97.0,40.0,MCS 15,52914,MCS 7 short GI,34738,0
2025-03-07,03-48-10,17,5.0,2.0,6.0,29.0,26-09:26:56,69,-68.0,-64.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,24.0,0-13:20:50,0-00:57:20,7.0,-60.0,-61.0,-58.0,-96.0,38.0,MCS 15,53083,MCS 7 short GI,34848,0
