CName,PIp,CIp,AngleCAntennaToPRadio (°),AnglePAntennaToCRadio (°),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio1,192.168.1.254,192.168.1.22,60,15,100,150,dirt,0.5,None, None
Date (Year-Mon-Day),Time (Hour-Min-Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (°C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (°C),CUpTime,ULinkUpTime,CTxPower,US0,US1,URSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-06,23-03-10,17,5.0,2.0,6.0,31.00,26-04:41:55,70,-80.0,-105.0,-80.0,-107.0,27.0,MCS 1,MCS 10,34.00,0-08:35:47,0-08:35:05,7.3,-89.0,-94.0,-88.0,-100.0,12.0,MCS 10,197050,MCS 1,77225,0
2025-03-06,23-03-20,17,5.0,2.0,6.0,31.00,26-04:42:07,70,-80.0,-106.0,-80.0,-107.0,27.0,MCS 1,MCS 10,34.00,0-08:35:56,0-08:35:17,7.3,-92.0,-94.0,-90.0,-99.0,9.0,MCS 10,197141,MCS 1,77265,0
2025-03-06,23-03-31,17,5.0,2.0,6.0,31.00,26-04:42:15,70,-80.0,-106.0,-80.0,-107.0,27.0,MCS 2 shortGI,MCS 10,34.00,0-08:36:05,0-08:35:25,7.3,-91.0,-93.0,-89.0,-99.0,10.0,MCS 10,197212,MCS 2 short GI,77290,0
2025-03-06,23-03-41,17,5.0,2.0,6.0,31.00,26-04:42:27,70,-80.0,-107.0,-80.0,-107.0,27.0,MCS 2 shortGI,MCS 10,34.00,0-08:36:17,0-08:35:37,7.3,-90.0,-94.0,-88.0,-100.0,12.0,MCS 10,197316,MCS 2 short GI,77336,0
2025-03-06,23-03-51,17,5.0,2.0,6.0,31.00,26-04:42:39,70,-80.0,-107.0,-80.0,-107.0,27.0,MCS 2 shortGI,MCS 10,34.00,0-08:36:26,0-08:35:48,7.3,-91.0,-93.0,-89.0,-101.0,12.0,MCS 10,197379,MCS 2 short GI,77373,0
2025-03-06,23-04-02,17,5.0,2.0,6.0,31.00,26-04:42:46,70,-80.0,-108.0,-80.0,-107.0,27.0,MCS 2 shortGI,MCS 9,34.00,0-08:36:38,0-08:35:56,7.3,-92.0,-94.0,-90.0,-101.0,11.0,MCS 7,197438,MCS 2 short GI,77402,0
2025-03-06,23-04-12,17,5.0,2.0,6.0,31.00,26-04:42:58,70,-81.0,-108.0,-81.0,-107.0,26.0,MCS 2 shortGI,MCS 10,34.00,0-08:36:47,0-08:36:08,7.3,-91.0,-91.0,-88.0,-100.0,12.0,MCS 10,197525,MCS 2 short GI,77441,0
2025-03-06,23-04-23,17,5.0,2.0,6.0,31.00,26-04:43:10,70,-81.0,-107.0,-81.0,-107.0,26.0,MCS 2,MCS 10,34.00,0-08:36:59,0-08:36:19,7.3,-89.0,-94.0,-88.0,-101.0,13.0,MCS 10,197595,MCS 2,77485,0
2025-03-06,23-04-33,17,5.0,2.0,6.0,31.00,26-04:43:22,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 2,MCS 10,34.00,0-08:37:09,0-08:36:31,7.3,-89.0,-93.0,-88.0,-101.0,13.0,MCS 10,197678,MCS 2,77523,0
2025-03-06,23-04-43,17,5.0,2.0,6.0,31.00,26-04:43:29,69,-80.0,-108.0,-80.0,-107.0,27.0,MCS 2,MCS 10,34.00,0-08:37:20,0-08:36:38,7.3,-90.0,-95.0,-89.0,-100.0,11.0,MCS 10,197740,MCS 2,77549,0
