CName,PIp,CIp,AngleCAntennaToPRadio (°),AnglePAntennaToCRadio (°),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio1,192.168.1.254,192.168.1.22,60,15,100,150,dirt,0.5,None, None
Date (Year-Mon-Day),Time (Hour-Min-Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (°C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (°C),CUpTime,ULinkUpTime,CTxPower,US0,US1,URSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-07,03-01-06,17,5.0,2.0,6.0,28.0,26-08:39:51,70,-81.0,-105.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:33:42,0-00:10:14,7.3,-90.0,-94.0,-88.0,-98.0,10.0,MCS 10,3687,MCS 0 short GI,738,0
2025-03-07,03-01-16,17,5.0,2.0,6.0,28.0,26-08:40:02,70,-81.0,-107.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:33:51,0-00:10:26,7.3,-91.0,-94.0,-89.0,-97.0,8.0,MCS 10,3790,MCS 0 short GI,767,0
2025-03-07,03-01-26,17,5.0,2.0,6.0,29.0,26-08:40:14,70,-80.0,-109.0,-80.0,-107.0,27.0,MCS 0 shortGI,MCS 10,33.0,0-12:34:03,0-00:10:38,7.3,-92.0,-92.0,-89.0,-97.0,8.0,MCS 10,3899,MCS 0 short GI,797,0
2025-03-07,03-01-37,17,5.0,2.0,6.0,29.0,26-08:40:22,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:34:12,0-00:10:46,7.3,-89.0,-92.0,-87.0,-97.0,10.0,MCS 10,3953,MCS 0 short GI,814,0
2025-03-07,03-01-47,17,5.0,2.0,6.0,29.0,26-08:40:34,69,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:34:24,0-00:10:57,7.3,-91.0,-95.0,-89.0,-97.0,8.0,MCS 10,4042,MCS 0 short GI,843,0
2025-03-07,03-01-58,17,5.0,2.0,6.0,29.0,26-08:40:46,69,-81.0,-108.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:34:34,0-00:11:09,7.3,-90.0,-93.0,-88.0,-97.0,9.0,MCS 10,4139,MCS 0 short GI,872,0
2025-03-07,03-02-08,17,5.0,2.0,6.0,29.0,26-08:40:53,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:34:42,0-00:11:17,7.3,-90.0,-91.0,-87.0,-97.0,10.0,MCS 10 short GI,4201,MCS 0 short GI,894,0
2025-03-07,03-02-18,17,5.0,2.0,6.0,29.0,26-08:41:05,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0,MCS 10,33.0,0-12:34:54,0-00:11:29,7.3,-91.0,-94.0,-89.0,-97.0,8.0,MCS 10,4289,MCS 0,927,0
2025-03-07,03-02-29,17,5.0,2.0,6.0,29.0,26-08:41:17,70,-81.0,-107.0,-81.0,-107.0,26.0,MCS 0,MCS 10,33.0,0-12:35:03,0-00:11:41,7.3,-92.0,-95.0,-90.0,-98.0,8.0,MCS 10,4389,MCS 0,955,0
2025-03-07,03-02-39,17,5.0,2.0,6.0,29.0,26-08:41:25,69,-80.0,-106.0,-80.0,-107.0,27.0,MCS 0,MCS 10,33.0,0-12:35:15,0-00:11:48,7.3,-89.0,-93.0,-88.0,-97.0,9.0,MCS 10,4446,MCS 0,970,0
2025-03-07,03-02-50,17,5.0,2.0,6.0,29.0,26-08:41:36,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:35:25,0-00:11:59,7.3,-89.0,-92.0,-87.0,-97.0,10.0,MCS 10,4529,MCS 0 short GI,1002,0
2025-03-07,03-03-00,17,5.0,2.0,6.0,29.0,26-08:41:47,70,-81.0,-109.0,-81.0,-107.0,26.0,MCS 0,MCS 10 shortGI,33.0,0-12:35:37,0-00:12:11,7.3,-90.0,-92.0,-88.0,-97.0,9.0,MCS 10 short GI,4634,MCS 0,1030,0
2025-03-07,03-03-10,17,5.0,2.0,6.0,29.0,26-08:41:55,70,-80.0,-105.0,-80.0,-107.0,27.0,MCS 0 shortGI,MCS 10,33.0,0-12:35:46,0-00:12:19,7.3,-89.0,-93.0,-87.0,-97.0,10.0,MCS 10 short GI,4694,MCS 0,1044,0
2025-03-07,03-03-21,17,5.0,2.0,6.0,29.0,26-08:42:07,69,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0,MCS 10 shortGI,33.0,0-12:35:58,0-00:12:30,7.3,-92.0,-94.0,-90.0,-96.0,6.0,MCS 10,4781,MCS 0,1076,0
2025-03-07,03-03-31,17,5.0,2.0,6.0,29.0,26-08:42:18,69,-80.0,-106.0,-80.0,-107.0,27.0,MCS 0,MCS 10,33.0,0-12:36:07,0-00:12:42,7.3,-91.0,-93.0,-89.0,-96.0,7.0,MCS 10,4887,MCS 0,1104,0
2025-03-07,03-03-41,17,5.0,2.0,6.0,29.0,26-08:42:26,70,-81.0,-107.0,-81.0,-107.0,26.0,MCS 0,MCS 9,33.0,0-12:36:19,0-00:12:50,7.3,-91.0,-92.0,-89.0,-96.0,7.0,MCS 9 short GI,4958,MCS 0,1125,0
2025-03-07,03-03-52,17,5.0,2.0,6.0,29.0,26-08:42:38,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 1 shortGI,MCS 10 shortGI,33.0,0-12:36:28,0-00:13:01,7.3,-89.0,-92.0,-88.0,-96.0,8.0,MCS 9 short GI,5034,MCS 0,1152,0
2025-03-07,03-04-02,17,5.0,2.0,6.0,29.0,26-08:42:50,70,-81.0,-107.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:36:37,0-00:13:14,7.3,-91.0,-92.0,-88.0,-96.0,8.0,MCS 10 short GI,5132,MCS 0 short GI,1179,0
2025-03-07,03-04-13,17,5.0,2.0,6.0,29.0,26-08:42:58,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:36:49,0-00:13:21,7.3,-91.0,-93.0,-89.0,-96.0,7.0,MCS 10 short GI,5205,MCS 0 short GI,1199,0
2025-03-07,03-04-23,17,5.0,2.0,6.0,29.0,26-08:43:10,69,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:36:58,0-00:13:34,7.3,-90.0,-92.0,-88.0,-96.0,8.0,MCS 10 short GI,5291,MCS 0 short GI,1236,0
2025-03-07,03-04-33,17,5.0,2.0,6.0,29.0,26-08:43:21,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:37:10,0-00:13:45,7.3,-91.0,-91.0,-88.0,-96.0,8.0,MCS 10 short GI,5388,MCS 0,1264,0
2025-03-07,03-04-44,17,5.0,2.0,6.0,29.0,26-08:43:30,70,-80.0,-106.0,-80.0,-107.0,27.0,MCS 1 shortGI,MCS 10 shortGI,33.0,0-12:37:19,0-00:13:53,7.3,-92.0,-92.0,-89.0,-97.0,8.0,MCS 10 short GI,5463,MCS 0 short GI,1286,0
2025-03-07,03-04-54,17,5.0,2.0,6.0,29.0,26-08:43:42,70,-81.0,-107.0,-81.0,-107.0,26.0,MCS 1 shortGI,MCS 10 shortGI,33.0,0-12:37:31,0-00:14:05,7.3,-91.0,-93.0,-89.0,-97.0,8.0,MCS 10 short GI,5543,MCS 1 short GI,1316,0
2025-03-07,03-05-04,17,5.0,2.0,6.0,29.0,26-08:43:50,70,-81.0,-107.0,-81.0,-107.0,26.0,MCS 1 shortGI,MCS 10,33.0,0-12:37:40,0-00:14:13,7.3,-90.0,-92.0,-88.0,-97.0,9.0,MCS 10 short GI,5603,MCS 1 short GI,1330,0
2025-03-07,03-05-15,17,5.0,2.0,6.0,29.0,26-08:44:01,69,-81.0,-108.0,-81.0,-107.0,26.0,MCS 1 shortGI,MCS 10 shortGI,33.0,0-12:37:49,0-00:14:24,7.3,-90.0,-92.0,-88.0,-97.0,9.0,MCS 10,5703,MCS 1 short GI,1359,0
2025-03-07,03-05-25,17,5.0,2.0,6.0,29.0,26-08:44:13,69,-81.0,-107.0,-81.0,-107.0,26.0,MCS 1,MCS 10 shortGI,33.0,0-12:38:01,0-00:14:36,7.3,-89.0,-92.0,-88.0,-97.0,9.0,MCS 10 short GI,5783,MCS 1 short GI,1389,0
2025-03-07,03-05-35,17,5.0,2.0,6.0,29.0,26-08:44:21,70,-81.0,-108.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:38:10,0-00:14:44,7.3,-90.0,-92.0,-88.0,-96.0,8.0,MCS 10,5864,MCS 0 short GI,1409,0
2025-03-07,03-05-46,17,5.0,2.0,6.0,29.0,26-08:44:32,70,-81.0,-107.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10 shortGI,33.0,0-12:38:22,0-00:14:56,7.3,-92.0,-92.0,-89.0,-95.0,6.0,MCS 10 short GI,5963,MCS 0 short GI,1439,0
2025-03-07,03-05-56,17,5.0,2.0,6.0,29.0,26-08:44:44,70,-81.0,-107.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:38:31,0-00:15:08,7.3,-92.0,-95.0,-90.0,-97.0,7.0,MCS 10,6041,MCS 0 short GI,1469,0
2025-03-07,03-06-07,17,5.0,2.0,6.0,29.0,26-08:44:55,69,-81.0,-106.0,-81.0,-107.0,26.0,MCS 0 shortGI,MCS 10,33.0,0-12:38:43,0-00:15:19,7.3,-91.0,-94.0,-89.0,-96.0,7.0,MCS 10,6135,MCS 0 short GI,1491,0
