CName,PIp,CIp,AngleCAntennaToPRadio (°),AnglePAntennaToCRadio (°),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio1,192.168.1.254,192.168.1.22,60,15,100,150,dirt,0.5,None, None
Date (Year-Mon-Day),Time (Hour-Min-Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (°C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (°C),CUpTime,ULinkUpTime,CTxPower,US0,US1,URSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-06,18-42-30,17,5.0,2.0,6.0,34.00,26-00:21:16,69,-81.0,-106.5,-81.0,-107.0,26.0,MCS 2,MCS 6 shortGI,40.00,0-04:15:07,0-04:14:26,7.3,-89.0,-93.0,-87.0,-102.0,15.0,MCS 5,88401,MCS 2,25874,0
2025-03-06,18-42-40,17,5.0,2.0,6.0,34.00,26-00:21:28,69,-81.0,-106.0,-81.0,-107.0,26.0,MCS 2,MCS 6 shortGI,40.00,0-04:15:16,0-04:14:37,7.3,-90.0,-97.0,-89.0,-102.0,13.0,MCS 6 short GI,88502,MCS 2,25918,0
2025-03-06,18-42-51,17,5.0,2.0,6.0,34.00,26-00:21:36,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 1 shortGI,MCS 6 shortGI,40.00,0-04:15:25,0-04:14:45,7.3,-90.0,-97.0,-89.0,-102.0,13.0,MCS 6 short GI,88561,MCS 2 short GI,25951,0
2025-03-06,18-43-01,17,5.0,2.0,6.0,34.00,26-00:21:48,70,-82.0,-106.0,-82.0,-107.0,25.0,MCS 2 shortGI,MCS 6,40.00,0-04:15:37,0-04:14:57,7.3,-91.0,-97.0,-90.0,-101.0,11.0,MCS 6 short GI,88626,MCS 2 short GI,25991,0
2025-03-06,18-43-12,17,5.0,2.0,6.0,34.00,26-00:21:59,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 2 shortGI,MCS 5 shortGI,40.00,0-04:15:46,0-04:15:09,7.3,-90.0,-96.0,-89.0,-102.0,13.0,MCS 5 short GI,88724,MCS 2 short GI,26035,0
2025-03-06,18-43-22,17,5.0,2.0,6.0,34.00,26-00:22:07,69,-82.0,-105.0,-82.0,-107.0,25.0,MCS 2 shortGI,MCS 6,40.00,0-04:15:59,0-04:15:16,7.3,-89.0,-94.0,-88.0,-102.0,14.0,MCS 5 short GI,88774,MCS 2,26057,0
2025-03-06,18-43-33,17,5.0,2.0,6.0,34.00,26-00:22:19,69,-80.0,-106.0,-80.0,-107.0,27.0,MCS 2 shortGI,MCS 6,40.00,0-04:16:07,0-04:15:28,7.3,-88.0,-95.0,-87.0,-101.0,14.0,MCS 6,88837,MCS 2 short GI,26097,0
2025-03-06,18-43-43,17,5.0,2.0,6.0,34.00,26-00:22:31,70,-81.0,-105.0,-81.0,-107.0,26.0,MCS 2 shortGI,MCS 6 shortGI,40.00,0-04:16:19,0-04:15:40,7.3,-90.0,-96.0,-89.0,-101.0,12.0,MCS 6 short GI,88947,MCS 1 short GI,26140,0
2025-03-06,18-43-53,17,5.0,2.0,6.0,34.00,26-00:22:38,70,-81.0,-106.0,-81.0,-107.0,26.0,MCS 2 shortGI,MCS 7 shortGI,40.00,0-04:16:29,0-04:15:48,7.3,-91.0,-97.0,-90.0,-101.0,11.0,MCS 7 short GI,89004,MCS 2 short GI,26168,0
2025-03-06,18-44-04,17,5.0,2.0,6.0,34.00,26-00:22:50,70,-82.0,-108.0,-82.0,-107.0,25.0,MCS 2 shortGI,MCS 7 shortGI,40.00,0-04:16:40,0-04:16:00,7.3,-90.0,-98.0,-89.0,-102.0,13.0,MCS 7 short GI,89064,MCS 2 short GI,26204,0
2025-03-06,18-44-14,17,5.0,2.0,6.0,34.00,26-00:23:01,69,-81.0,-109.0,-81.0,-107.0,26.0,MCS 2,MCS 5 shortGI,40.00,0-04:16:49,0-04:16:10,7.3,-88.0,-96.0,-87.0,-102.0,15.0,MCS 7 short GI,89157,MCS 2,26243,0
2025-03-06,18-44-25,17,5.0,2.0,6.0,34.00,26-00:23:09,70,-81.0,-108.0,-81.0,-107.0,26.0,MCS 2 shortGI,MCS 6 shortGI,40.00,0-04:17:01,0-04:16:18,7.3,-90.0,-99.0,-90.0,-102.0,12.0,MCS 5 short GI,89215,MCS 2,26274,0
2025-03-06,18-44-35,17,5.0,2.0,6.0,34.00,26-00:23:21,70,-81.0,-105.0,-81.0,-107.0,26.0,MCS 2 shortGI,MCS 6 shortGI,40.00,0-04:17:10,0-04:16:31,7.3,-88.0,-95.0,-87.0,-101.0,14.0,MCS 6 short GI,89280,MCS 2 short GI,26313,0
