CName,PIp,CIp,AngleCAntennaToPRadio (°),AnglePAntennaToCRadio (°),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio2,192.168.1.254,192.168.1.11,60,15,100,150,dirt,0.5,None, None
Date (Year-Mon-Day),Time (Hour-Min-Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (°C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (°C),CUpTime,ULinkUpTime,CTxPower,US0,US1,URSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-06,18-42-30,17,5.0,2.0,6.0,34.00,26-00:21:16,69,-69.0,-62.5,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,29.00,0-04:15:10,0-04:14:29,7.0,-60.0,-64.0,-59.0,-102.0,43.0,MCS 15,114041,MCS 7 short GI,46477,0
2025-03-06,18-42-40,17,5.0,2.0,6.0,34.00,26-00:21:28,69,-69.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,29.00,0-04:15:19,0-04:14:40,7.0,-60.0,-65.0,-59.0,-102.0,43.0,MCS 15,114178,MCS 7 short GI,46554,0
2025-03-06,18-42-51,17,5.0,2.0,6.0,34.00,26-00:21:36,70,-68.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,29.00,0-04:15:28,0-04:14:48,7.0,-60.0,-64.0,-59.0,-102.0,43.0,MCS 15,114257,MCS 7 short GI,46605,0
2025-03-06,18-43-01,17,5.0,2.0,6.0,34.00,26-00:21:48,70,-67.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 14,29.00,0-04:15:40,0-04:15:00,7.0,-61.0,-63.0,-59.0,-101.0,42.0,MCS 15,114362,MCS 7 short GI,46683,0
2025-03-06,18-43-12,17,5.0,2.0,6.0,34.00,26-00:21:59,70,-68.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,29.00,0-04:15:52,0-04:15:12,7.0,-61.0,-64.0,-59.0,-102.0,43.0,MCS 15,114523,MCS 7 short GI,46791,0
2025-03-06,18-43-22,17,5.0,2.0,6.0,34.00,26-00:22:07,69,-68.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,29.00,0-04:16:01,0-04:15:19,7.0,-61.0,-63.0,-59.0,-102.0,43.0,MCS 15,114597,MCS 7 short GI,46838,0
2025-03-06,18-43-33,17,5.0,2.0,6.0,34.00,26-00:22:19,69,-69.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,29.00,0-04:16:13,0-04:15:31,7.0,-61.0,-62.0,-58.0,-101.0,43.0,MCS 15,114673,MCS 7 short GI,46887,0
2025-03-06,18-43-43,17,5.0,2.0,6.0,34.00,26-00:22:31,70,-68.0,-63.0,-62.0,-101.0,39.0,MCS 7 shortGI,MCS 15,29.00,0-04:16:22,0-04:15:43,7.0,-60.0,-63.0,-58.0,-101.0,43.0,MCS 15,114792,MCS 7 short GI,46939,0
2025-03-06,18-43-53,17,5.0,2.0,6.0,34.00,26-00:22:38,70,-68.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,29.00,0-04:16:31,0-04:15:51,7.0,-61.0,-63.0,-59.0,-101.0,42.0,MCS 15,114853,MCS 7 short GI,46971,0
2025-03-06,18-44-04,17,5.0,2.0,6.0,34.00,26-00:22:50,70,-69.0,-64.0,-63.0,-101.0,38.0,MCS 7 shortGI,MCS 14,29.00,0-04:16:43,0-04:16:03,7.0,-60.0,-65.0,-59.0,-102.0,43.0,MCS 14,114923,MCS 7 short GI,47013,0
