CName,PIp,CIp,AngleCAntennaToPRadio (°),AnglePAntennaToCRadio (°),HDist (ft),VDist (ft),SpecialValueName,SpecialValue,PLocation,CLocation
radio2,192.168.1.254,192.168.1.11,60,15,100,150,dirt,0.5,None, None
Date (Year-Mon-Day),Time (Hour-Min-Sec),Channel,PTxPower,PRxGain,Bandwidth,PTemp (°C),PUpTime (Day-Hour:Min:Sec),PFreeMemory (%),DS0,DS1,DRSSI,DNoiseFloor,DSNR,DTxModulation,DRxModulation,CTemp (°C),CUpTime,ULinkUpTime,CTxPower,US0,US1,URSSI,USNoiseFloor,USNR,UTxModulation,UTxPackets (Pkts.),URxModulation,URxPackets (Pkts.),PingTimeAVG
2025-03-06,23-03-10,17,5.0,2.0,6.0,31.0,26-04:41:55,70,-68.0,-63.0,-61.5,-100.0,38.5,MCS 7 shortGI,MCS 15,25.0,0-08:35:50,0-08:35:08,7.0,-60.0,-61.0,-58.0,-100.0,42.0,MCS 15,259738,MCS 7 short GI,131991,0
2025-03-06,23-03-20,17,5.0,2.0,6.0,31.0,26-04:42:07,70,-68.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,25.0,0-08:35:59,0-08:35:20,7.0,-60.0,-60.0,-57.0,-99.0,42.0,MCS 15,259972,MCS 7 short GI,132176,0
2025-03-06,23-03-31,17,5.0,2.0,6.0,31.0,26-04:42:15,70,-68.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,25.0,0-08:36:08,0-08:35:28,7.0,-60.0,-60.0,-57.0,-99.0,42.0,MCS 15,260139,MCS 7 short GI,132293,0
2025-03-06,23-03-41,17,5.0,2.0,6.0,31.0,26-04:42:27,70,-68.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,25.0,0-08:36:20,0-08:35:40,7.0,-61.0,-62.0,-58.0,-100.0,42.0,MCS 15,260324,MCS 7 short GI,132423,0
2025-03-06,23-03-51,17,5.0,2.0,6.0,31.0,26-04:42:39,70,-69.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,25.0,0-08:36:29,0-08:35:51,7.0,-60.0,-62.0,-58.0,-101.0,43.0,MCS 15,260467,MCS 7 short GI,132553,0
2025-03-06,23-04-02,17,5.0,2.0,6.0,31.0,26-04:42:46,70,-69.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,25.0,0-08:36:41,0-08:35:59,7.0,-61.0,-63.0,-59.0,-101.0,42.0,MCS 15,260609,MCS 7 short GI,132663,0
2025-03-06,23-04-12,17,5.0,2.0,6.0,31.0,26-04:42:58,70,-69.0,-64.0,-63.0,-100.0,37.0,MCS 7 shortGI,MCS 15,25.0,0-08:36:50,0-08:36:11,7.0,-60.0,-61.0,-58.0,-100.0,42.0,MCS 15,260773,MCS 7 short GI,132776,0
2025-03-06,23-04-23,17,5.0,2.0,6.0,31.0,26-04:43:10,70,-69.0,-61.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,25.0,0-08:37:02,0-08:36:22,7.0,-61.0,-63.0,-59.0,-101.0,42.0,MCS 15,260928,MCS 7,132903,0
2025-03-06,23-04-33,17,5.0,2.0,6.0,31.0,26-04:43:22,70,-68.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,25.0,0-08:37:11,0-08:36:34,7.0,-60.0,-64.0,-59.0,-101.0,42.0,MCS 15,261078,MCS 7 short GI,133022,0
2025-03-06,23-04-43,17,5.0,2.0,6.0,31.0,26-04:43:29,69,-68.0,-64.0,-63.0,-100.0,37.0,MCS 7 shortGI,MCS 14 shortGI,25.0,0-08:37:23,0-08:36:41,7.0,-60.0,-62.0,-58.0,-100.0,42.0,MCS 15,261232,MCS 7 short GI,133141,0
2025-03-06,23-04-54,17,5.0,2.0,6.0,31.0,26-04:43:40,70,-68.0,-64.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,25.0,0-08:37:32,0-08:36:53,7.0,-60.0,-62.0,-58.0,-100.0,42.0,MCS 15,261415,MCS 7 short GI,133299,0
2025-03-06,23-05-04,17,5.0,2.0,6.0,31.0,26-04:43:52,70,-68.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 15,25.0,0-08:37:44,0-08:37:05,7.0,-60.0,-62.0,-58.0,-100.0,42.0,MCS 15,261647,MCS 7 short GI,133472,0
2025-03-06,23-05-15,17,5.0,2.0,6.0,31.0,26-04:44:00,70,-68.0,-62.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,25.0,0-08:37:53,0-08:37:13,7.0,-60.0,-62.0,-58.0,-100.0,42.0,MCS 15,261791,MCS 7 short GI,133584,0
2025-03-06,23-05-25,17,5.0,2.0,6.0,31.0,26-04:44:12,70,-69.0,-63.0,-62.0,-100.0,38.0,MCS 7 shortGI,MCS 14,25.0,0-08:38:02,0-08:37:24,7.0,-61.0,-63.0,-59.0,-100.0,41.0,MCS 14,261968,MCS 7 short GI,133734,0
2025-03-06,23-05-35,17,5.0,2.0,6.0,31.0,26-04:44:20,70,-68.0,-63.0,-61.0,-100.0,39.0,MCS 7 shortGI,MCS 15,25.0,0-08:38:14,0-08:37:32,7.0,-61.0,-64.0,-59.0,-101.0,42.0,MCS 15,262140,MCS 7 short GI,133877,0
